theta_0,theta_3,loss
8.82394837709,-12.4547976419,14.1363998839
9.02596857911,-12.4547976419,15.1662988731
9.22798878113,-12.4547976419,16.1961978628
9.43000898315,-12.4547976419,17.2260968526
9.63202918517,-12.4547976419,18.2559958425
9.83404938719,-12.4547976419,19.2858948324
10.0360695892,-12.4547976419,20.3157938223
10.2380897912,-12.4547976419,21.3456928122
10.4401099933,-12.4547976419,22.3755918021
10.6421301953,-12.4547976419,23.405490792
10.8441503973,-12.4547976419,24.4353897819
11.0461705993,-12.4547976419,25.4652887718
-8.95382940069,-12.2527774399,45.8993930822
-8.75180919867,-12.2527774399,45.2458577286
-8.54978899665,-12.2527774399,44.5923223751
-8.34776879463,-12.2527774399,43.9387870215
-8.14574859261,-12.2527774399,43.285251668
-7.94372839059,-12.2527774399,42.6317163145
-7.74170818857,-12.2527774399,41.9781809609
-7.53968798655,-12.2527774399,41.3246456074
-7.33766778453,-12.2527774399,40.6711102539
-7.13564758251,-12.2527774399,40.0175749003
-6.93362738049,-12.2527774399,39.3640395468
-6.73160717847,-12.2527774399,38.7105041933
-6.52958697645,-12.2527774399,38.0569688397
-6.32756677443,-12.2527774399,37.4034334862
-6.12554657241,-12.2527774399,36.7498981327
-5.92352637039,-12.2527774399,36.0963627791
-5.72150616837,-12.2527774399,35.4428274256
-5.51948596635,-12.2527774399,34.7892920721
-5.31746576433,-12.2527774399,34.1357567185
-5.11544556231,-12.2527774399,33.482221365
-4.91342536029,-12.2527774399,32.8286860114
-4.71140515826,-12.2527774399,32.1751506579
-4.50938495624,-12.2527774399,31.5216153044
-4.30736475422,-12.2527774399,30.8680799508
-4.1053445522,-12.2527774399,30.2145445973
-3.90332435018,-12.2527774399,29.5610092438
-3.70130414816,-12.2527774399,28.9074738902
-3.49928394614,-12.2527774399,28.2539385367
-3.29726374412,-12.2527774399,27.6004031832
-3.0952435421,-12.2527774399,26.9468678296
-2.89322334008,-12.2527774399,26.2933324761
-2.69120313806,-12.2527774399,25.6397971226
-2.48918293604,-12.2527774399,24.986261769
-2.28716273402,-12.2527774399,24.3327264155
-2.085142532,-12.2527774399,23.679191062
-1.88312232998,-12.2527774399,23.0256557084
-1.68110212796,-12.2527774399,22.3721203549
-1.47908192594,-12.2527774399,21.7185850013
-1.27706172392,-12.2527774399,21.0650496478
-1.0750415219,-12.2527774399,20.4115142943
-0.873021319881,-12.2527774399,19.7579789407
-0.671001117861,-12.2527774399,19.1044435872
-0.468980915841,-12.2527774399,18.4509082337
-0.26696071382,-12.2527774399,17.7973728801
-0.0649405118003,-12.2527774399,17.1438375266
0.13707969022,-12.2527774399,16.4903021731
0.33909989224,-12.2527774399,15.8367668195
0.54112009426,-12.2527774399,15.183231466
0.743140296281,-12.2527774399,14.5296961125
0.945160498301,-12.2527774399,13.8761607589
1.14718070032,-12.2527774399,13.2226254054
1.34920090234,-12.2527774399,12.569090052
1.55122110436,-12.2527774399,11.9155546988
1.75324130638,-12.2527774399,11.2620193464
1.9552615084,-12.2527774399,10.6084839965
2.15728171042,-12.2527774399,9.95494865522
2.35930191244,-12.2527774399,9.30141334245
